totalResults,brandId,brandName,categoryId,categoryName,helpful,productId,productName,rating,review,reviewDate,reviewId,thumbnail,userName,votes,skinType,skinTone,skinUndertone,hairColor,hairType,hairTexture,eyeColor,ageRange,reviews
92,308,Neutrogena,22,Sunscreen,0,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,3,"It stung so much! 

I don&#039;t normally have sensitive skin but it caused irritation for both myself and my sister. I had horribly a horribly uncomfortable stinging face for days before I realised this sunscreen was the cause. NOT IMPRESSED.",2018-10-31T07:25:00.000Z,3034516,thumb/h/145/0_6_2_9_2247940.JPG,mirrypie,0,Combination,Fair-Medium,Unknown,Blond,Unknown,Unknown,Blue,19-24,4
92,308,Neutrogena,22,Sunscreen,2,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,2,"Why did Neutrogena choose to add cinnamon bark to this sunscreen? It would’ve been nearly perfect without it! Lightweight texture, non-greasy finish, good price- all sought after attributes for acne sufferers who haven’t been able to find a decent sunscreen. However, the cinnamon bark can cause irritation for many people, myself included, which is why a lot of the reviews complain of stinging and burning. Truly a huge disappointment. ",2018-10-27T02:16:00.000Z,3034140,thumb/h/145/0_6_2_9_2247940.JPG,Jlhenderson,2,Very Dry,Fair,Unknown,Blond,Unknown,Unknown,Blue,25-29,59
92,308,Neutrogena,22,Sunscreen,2,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,1,"Very disappointing for a product that is targeted specifically for acne-prone skin. At first, I thought it was fine, but after a full day of wear, I noticed clogged pores. Then, I woke up the next day with huge, painful cysts on my face- and my skin is normally clear. It has been a week and I am still recovering from the damage. I am 100% it was this product because it was the only new thing I added to my routine.  ",2018-08-08T13:44:00.000Z,3025681,thumb/h/145/0_6_2_9_2247940.JPG,cwong5499,2,Other,Other,Unknown,Other,Unknown,Unknown,Other,19-24,1
92,308,Neutrogena,22,Sunscreen,2,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,5,"I&#039;ve had great results with Neutrogena&#039;s sunscreens and this one is no exception. It goes on nicely and once it settles in, it&#039;s not shiny or greasy. I have the SPF 30+. It feels good, wears well, and doesn&#039;t leave a white cast. I haven&#039;t experienced any irritation, but then I don&#039;t have sensitive skin (although my skin gets oily). It does smell faintly of sunscreen but mostly goes away over time. One of my favourite sunscreens.

A bit pricey, but then I got mine on sale. Additionally, the cap does have a tendency to get a little messy especially since the product is pretty runny.",2017-11-05T01:26:00.000Z,2990707,thumb/h/145/0_6_2_9_2247940.JPG,Kettlehewer,2,Oily,Olive,Neutral,Black,Wavy,Fine,Brown,19-24,44
92,308,Neutrogena,22,Sunscreen,3,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,1,"What a terrible product. 
It&#039;s my second sunscreen from Neutrogena, unfortunately again a miss, way worse that the first one.
I used it only one day and there is no way I will apply it again.

Pros: 
- it&#039;s not shiny, even when reapplied 
- it&#039;s invisible 
- it&#039;s dream to apply, liquidy texture makes it spread very easy 

Cons: 
- upon application, it stings (I thought of washing it off, but in about 15 minutes my skin calmed down) 
- in about one - one and half hours of wear my cheek started to itch and some voluminous rashes appeared (I used it only on one side of my face to compare it with my go-to but very drying sunscreen from Etude House) I took Zirtek and reapplied it after 3 hours of wear
- right after reapplying I went out and spent a couple of hours in the park (sunny late afternoon). When I came home I immediately noticed two dark spots (almost parallel wide lines) on my cheek about an inch from my mouth. I do have freckles, especially in summer, but now I also have two dark lines that made out of combined freckles! It looks like I have a dirty face or a bad scarring.  

I&#039;ve never experienced anything like that on my face, I put sunscreen daily... Terrible product! Stay away! ",2017-08-26T23:36:00.000Z,2981056,thumb/h/145/0_6_2_9_2247940.JPG,KateLausanne,3,Sensitive,Fair-Medium,Neutral,Brown,Wavy,Fine,Hazel,36-43,621
92,308,Neutrogena,22,Sunscreen,2,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,4,"Seriously, best facial sunscreen I&#039;ve found to date that is TRULY non-greasy, non-heavy, non-oily -- lives up to it&#039;s name (NO BREAKOUTS CAUSED BY THIS). Thank God I found this, was beginning to give up hope on EVER finding a usable daily sunscreen...
Lost a lippie simply due to the fact that it makes my skin tingle a bit right after putting it on (reaction?) -- although it&#039;s temporary and totally dissipates once the product is set. This also isn&#039;t moisturizing at all, so if you have dryer skin, I suggest putting a LIGHT moisturizer on underneath this. Anyone with combo or oily skin can just use this product on it&#039;s own (and use a good moisturizer at night when you go to sleep to keep your skin balanced). ",2017-07-29T18:33:00.000Z,2976577,thumb/h/145/0_6_2_9_2247940.JPG,miagia,2,Combination,Fair,Not Sure,Brown,Wavy,Coarse,Gray,36-43,24
92,308,Neutrogena,22,Sunscreen,7,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,4,"Finding a good, usable sunscreen that won&#039;t cause breakouts for oily acne prone skin is not easy. Specially at the drugstore (another one to check out at the drugstore for oily/acne prone skin is Cetaphil derma control pf 30). 
I&#039;ve tried many and this one in particular is an excellent sunscreen for my skin type, losing a lippie only because some potentially irritating extracts where used (cinammon/cedar bark). When I last repurchased though, I noticed that there where 2 different packaging for Clear Face Spf 30, and they had different ingredient listings. In one the cedar/cinnamon bark ingredients where high in the list and in the other near the bottom. If the ingredients are listed according to amount present, definitively go for the latter. 

This comes out of the tube a thin, white lotion. It spreads out well enough for an easy application on face and neck, and dries to a weightless, demi-matte transparent finish. It feels matte, but it has a VERY slight luminosity which is virtually impossible to eliminate from chemical sunscreens anyway. 

This broad spectrum spf comes in spf 30 and spf 55 (spf 55 has the cedar/cinammon bark near top of list) If I&#039;m not mistaken. I have both.  If you have sensitive, or acne prone skin I&#039;d reccomend you definitively buy the SPF 30 version. I found the one with higher spf irritating (stings) and I had to use it up on my neck and chest because I couldn&#039;t tolerate the burning/stinging on my face. I&#039;m wearing the spf 30 version on my face at we &quot;speak&quot; with no problem :) .

I wanted to add that if you have acne prone skin, with a medium to deep skintone, and you cant find chemical sunscreens that dont sting your face, look for sunscreens with a mix of chemical and mineral filters, like Clinique City Block spf 40, or the Cerave Spf 30 with retinol one. If you find one wich is high Zinc mixed with some chemical filters you are golden. Mineral spf tends to have a cast (white/beige/pink/purple casts), but if you look for a mix of chemical and mineral, and tinted versions, this is lessened a lot. 

I find mineral (and mixes) sunscreens clog my pores somewhat around my nose and chin, but on the flip side are not irritating. You will have to experiment with sunscreens to see what ratio of chemical to mineral or which ratio of zinc to titanium dioxide, or plain zinc with oxtinoxate will work for you. To deal with clogged pores using salycilic acid (or other fat soluble acid) daily at night helps, as well as products with niacinamide.

",2017-04-25T11:18:00.000Z,2960010,thumb/h/145/0_6_2_9_2247940.JPG,Juno77,7,Acne-prone,Medium Brown,Warm,Black,Wavy,Medium,Brown,30-35,345
92,308,Neutrogena,22,Sunscreen,0,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,1,"I have oily, acne prone &amp; sensitive skin. So I thought I had found a sunscreen that would work for me &amp; it states won&#039;t break you out!! 
Pros: Light Weight 
         Not greasy 
         Blends Well

Cons: My face broke out two days after I started using it, not only my face but my neck as well. It took me a week to figure out why I was getting blemishes all over my face &amp; I wanted to believe what the product stated. I stop using it and my once red inflamed blemishes are finally healing.",2016-07-14T03:21:00.000Z,2904850,thumb/h/145/0_6_2_9_2247940.JPG,LipGlossGoss,0,Oily,Olive,Warm,Brown,Straight,Fine,Brown,36-43,1
92,308,Neutrogena,22,Sunscreen,1,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,5,"Love it, used it for many years. Will become greasy if combined with moisturizer, so I use a serum in the morning instead. I&#039;m pale so I don&#039;t experience a whitish cast. It also mixes well with color concentrates (I use green, but you could darken it for different skin tones.) Great primer for under foundations too since I don&#039;t use primer. Doesn&#039;t break me out which is great.",2016-05-02T09:56:00.000Z,2887590,thumb/h/145/0_6_2_9_2247940.JPG,YaoiKitten,1,Very Oily,Fair,Unknown,Brunette,Unknown,Unknown,Other,30-35,23
92,308,Neutrogena,22,Sunscreen,4,151181,Clear Face Break-Out Free Liquid- Lotion Sunblock SPF 30,3,"I went a long time without wearing sunscreen because most of them were too heavy and greasy on my face. Even &quot;dry touch&quot; products felt mask-like and siliconey. Neutrogena Clear Face SPF 30 got a really terrible expert review on Beautypedia, but I felt I had to try it for myself.

This product contains a blend of chemical sunscreens, is a white liquid lotion texture with an inoffensive scent. It does contain some fragrant oils which smell woody to me, but the smell doesn&#039;t linger when the product dries. When first applied, there is a bit of a white cast, but that disappears as the product sinks in and dries.

Of all the sunscreens I&#039;ve tried, this is one of the least greasy ones. However, it does leave a sheen, as most sunscreens do. It actually works really well over other products, such as Paula&#039;s Choice 2% BHA Gel. Those two together are just the right amount of moisture without making me an oil slick. To tone down the shine, I use a mattifier, such as Paula&#039;s Choice Shine Stopper or OC8.

Unfortunately, over time, this sunscreen started to irritate my skin. Now when I try to wear it, it stings when applied. The sting does go away as the product dries, if that is any comfort. I decided to quit wearing it and switched to Paula&#039;s Choice Resist Youth-Extending Clear Skin Hydrator SPF 50. The PC product is also contains broad-spectrum chemical sunscreens, is very light, a tiny bit more moisturizing and is much gentler to my skin.

I rated this Neutrogena product 3 out of 5, because I know it will work for those who have less sensitive skin, and the texture is simply awesome for skin tending toward oily.",2016-04-30T18:51:00.000Z,2887135,thumb/h/145/0_6_2_9_2247940.JPG,AshaP,4,Combination,Olive,Neutral,Brown,Curly,Medium,Brown,44-55,155
